Id,Date Time,Model,Prompt,Exam,Topic,Source,Source Id,Problem Id,Problem,Dialog,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Agent Answer,Correct Answer,Solution,Score,Input Tokens,Output Tokens,Total Tokens,Error
1,2023-12-03 00:03:46,gpt-4,concise,lsat-ar-100,Law,agi-eval/lsat-ar,45,1,"Topic: Law
Context: For the school paper, five students—Jiang, Kramer, Lopez, Megregian, and O'Neill—each review one or more of exactly three plays: Sunset, Tamerlane, and Undulation, but do not review any other plays. The following conditions must apply: Kramer and Lopez each review fewer of the plays than Megregian. Neither Lopez nor Megregian reviews any play Jiang reviews. Kramer and O'Neill both review Tamerlane. Exactly two of the students review exactly the same play or plays as each other.
Question: If exactly three of the students review Undulation, which one of the following could be true?
Choices:
  A: Megregian does not review Undulation.
  B: O'Neill does not review Undulation.
  C: Jiang reviews Undulation.
  D: Lopez reviews Tamerlane.
  E: O'Neill reviews Sunset.
",,A,B,C,C,B,B,B,B,B,B,B,E,,0,407,2802,3209,
2,2023-12-03 00:04:10,gpt-4,concise,lsat-ar-100,Law,agi-eval/lsat-ar,107,2,"Topic: Law
Context: A maintenance company that takes service requests from three clients—Image, Solide, and Truvest—plans to set targets for its average service response times. Service targets will be set at 3 days, 2 days, or 1 day. Two service targets are set for each client—one for requests received through the maintenance company's website and one for requests received by voicemail. The six targets are set according to the following conditions: None of the clients can have a website target that is longer than its voicemail target. Image's voicemail target must be shorter than the other clients' voicemail targets. Solide's website target must be shorter than Truvest's website target.
Question: Which one of the following targets CANNOT be set for more than one of the clients?
Choices:
  A: a 1-day website target
  B: a 2-day voicemail target
  C: a 2-day website target
  D: a 3-day voicemail target
  E: a 3-day website target
",,E,B,B,B,E,D,D,D,D,A,D,E,,0,440,2616,3056,
3,2023-12-03 00:04:37,gpt-4,concise,lsat-ar-100,Law,agi-eval/lsat-ar,226,3,"Topic: Law
Context: Three real estate companies—RealProp, Southco, and Trustcorp—are considering trading buildings with one another. Each building they own is categorized as either class 1, class 2, or class 3, depending on its approximate value: RealProp owns the Garza Tower (class 1), the Yates House (class 3), and the Zimmer House (class 3). Southco owns the Flores Tower (class 1) and the Lynch Building (class 2). Trustcorp owns the King Building, the Meyer Building, and the Ortiz Building, all of which are class 2. Each trade must be of exactly one of the following three kinds: Trading one building for one other building of the same class Trading one class 1 building for two class 2 buildings Trading one class 2 building for two class 3 buildings
Question: Which one of the following could be the buildings owned by the three companies after only one trade is made?
Choices:
  A: RealProp: the Flores Tower and the Garza Tower Southco: the Lynch Building, the Yates House, and the Zimmer House Trustcorp: the King Building, the Meyer Building, and the Ortiz Building
  B: RealProp: the Garza Tower, the King Building, and the Ortiz Building Southco: the Flores Tower and the Lynch Building Trustcorp: the Meyer Building, the Yates House, and the Zimmer House
  C: RealProp: the Garza Tower and the Lynch Building Southco: the Flores Tower, the Yates House, and the Zimmer House Trustcorp: the King Building, the Meyer Building, and the Ortiz Building
  D: RealProp: the Garza Tower, the Meyer Building, and the Yates House Southco: the Flores Tower and the Lynch Building Trustcorp: the King Building, the Ortiz Building, and the Zimmer House
  E: RealProp: the Garza Tower, the Yates House, and the Zimmer House Southco: the Lynch Building and the Ortiz Building Trustcorp: the Flores Tower, the King Building, and the Meyer Building
",,B,B,A,B,B,B,B,B,A,C,B,C,,0,647,2654,3301,
4,2023-12-03 00:05:12,gpt-4,concise,lsat-ar-100,Law,agi-eval/lsat-ar,215,4,"Topic: Law
Context: An author is planning to write a mystery novel consisting of seven chapters, chapter 1 through chapter 7. Each of seven different clues—R, S, T, U, W, X, and Z—is to be mentioned exactly once, one clue per chapter. The order in which the clues are mentioned is subject to the following constraints: T cannot be mentioned in chapter 1. T must be mentioned before W, and there must be exactly two chapters separating the mention of T from the mention of W. S and Z cannot be mentioned in adjacent chapters. W and X cannot be mentioned in adjacent chapters. U and X must be mentioned in adjacent chapters.
Question: If U is mentioned in chapter 3, which one of the following could be true?
Choices:
  A: R is mentioned in chapter 1.
  B: R is mentioned in chapter 5.
  C: S is mentioned in chapter 7.
  D: W is mentioned in chapter 6.
  E: X is mentioned in chapter 4.
",,C,A,,A,A,A,C,E,C,A,A,A,,1,437,2826,3263,
5,2023-12-03 00:05:41,gpt-4,concise,lsat-ar-100,Law,agi-eval/lsat-ar,46,5,"Topic: Law
Context: For the school paper, five students—Jiang, Kramer, Lopez, Megregian, and O'Neill—each review one or more of exactly three plays: Sunset, Tamerlane, and Undulation, but do not review any other plays. The following conditions must apply: Kramer and Lopez each review fewer of the plays than Megregian. Neither Lopez nor Megregian reviews any play Jiang reviews. Kramer and O'Neill both review Tamerlane. Exactly two of the students review exactly the same play or plays as each other.
Question: Which one of the following could be an accurate and complete list of the students who review Tamerlane?
Choices:
  A: Jiang, Kramer
  B: Kramer, O'Neill
  C: Kramer, Lopez, O'Neill
  D: Kramer, Megregian, O'Neill
  E: Lopez, Megregian, O'Neill
",,B,B,B,B,B,D,B,B,B,B,B,D,,0,409,2137,2546,
6,2023-12-03 00:06:02,gpt-4,concise,lsat-ar-100,Law,agi-eval/lsat-ar,10,6,"Topic: Law
Context: The organizer of a reading club will select at least five and at most six works from a group of nine works. The group consists of three French novels, three Russian novels, two French plays, and one Russian play. The organizer's selection of works must conform to the following requirements: No more than four French works are selected. At least three but no more than four novels are selected. At least as many French novels as Russian novels are selected. If both French plays are selected, then the Russian play is not selected.
Question: The organizer must at least select
Choices:
  A: one French novel and one French play
  B: one French novel and one Russian play
  C: one Russian novel and one French play
  D: two French novels
  E: two Russian novels
",,B,D,A,A,A,D,D,,D,D,D,D,,1,389,2132,2521,
7,2023-12-03 00:06:25,gpt-4,concise,lsat-ar-100,Law,agi-eval/lsat-ar,227,7,"Topic: Law
Context: Three real estate companies—RealProp, Southco, and Trustcorp—are considering trading buildings with one another. Each building they own is categorized as either class 1, class 2, or class 3, depending on its approximate value: RealProp owns the Garza Tower (class 1), the Yates House (class 3), and the Zimmer House (class 3). Southco owns the Flores Tower (class 1) and the Lynch Building (class 2). Trustcorp owns the King Building, the Meyer Building, and the Ortiz Building, all of which are class 2. Each trade must be of exactly one of the following three kinds: Trading one building for one other building of the same class Trading one class 1 building for two class 2 buildings Trading one class 2 building for two class 3 buildings
Question: Which one of the following CANNOT be true, no matter how many trades are made?
Choices:
  A: The buildings owned by RealProp are the Flores Tower and the Garza Tower.
  B: The buildings owned by Southco are the Flores Tower and the Meyer Building.
  C: The buildings owned by Southco are the Garza Tower and the Lynch Building.
  D: The buildings owned by Trustcorp are the Flores Tower and the Ortiz Building.
  E: The buildings owned by Trustcorp are the Garza Tower and the Meyer Building.
",,C,D,E,E,A,A,C,D,E,D,D,A,,0,513,2719,3232,
8,2023-12-03 00:06:59,gpt-4,concise,lsat-ar-100,Law,agi-eval/lsat-ar,102,8,"Topic: Law
Context: Exactly five witnesses—Franco, Garcia, Hong, Iturbe, and Jackson—are to be scheduled to testify at a hearing that is to take exactly three days of one week—Monday, Tuesday, and Wednesday. Each witness testifies on exactly one day of the hearing. The schedule must meet the following conditions: Franco does not testify on the same day that Garcia testifies. Iturbe testifies on Wednesday. Exactly two witnesses testify on Tuesday. Hong does not testify on Monday. At least one witness testifies on Monday.
Question: If Franco is scheduled to testify on the same day as Hong, which one of the following must be true of the schedule?
Choices:
  A: Franco is scheduled to testify on Wednesday.
  B: Garcia is scheduled to testify on Monday.
  C: Garcia is scheduled to testify on Wednesday.
  D: Hong is scheduled to testify on Tuesday.
  E: Iturbe is the only witness scheduled to testify on Wednesday.
",,A,D,B,B,B,A,D,B,D,B,B,D,,0,424,1307,1731,
9,2023-12-03 00:07:15,gpt-4,concise,lsat-ar-100,Law,agi-eval/lsat-ar,202,9,"Topic: Law
Context: A chorus director is planning to audition exactly six singers: Kammer, Lugo, Trillo, Waite, Yoshida, and Zinn. Kammer's audition and Lugo's audition will be recorded; the other four will not be. The six auditions are to take place one after the other on a single day, in accordance with the following conditions: The fourth audition cannot be recorded. The fifth audition must be recorded. Waite's audition must take place earlier than the two recorded auditions. Kammer's audition must take place earlier than Trillo's audition. Zinn's audition must take place earlier than Yoshida's audition.
Question: Which one of the following could be the order of the auditions, from first to last?
Choices:
  A: Kammer, Trillo, Zinn, Waite, Lugo, Yoshida
  B: Waite, Kammer, Yoshida, Zinn, Lugo, Trillo
  C: Waite, Lugo, Kammer, Trillo, Zinn, Yoshida
  D: Waite, Zinn, Kammer, Trillo, Lugo, Yoshida
  E: Zinn, Yoshida, Waite, Lugo, Kammer, Trillo
",,A,D,D,D,D,D,D,D,D,B,D,D,,1,485,3773,4258,
10,2023-12-03 00:07:45,gpt-4,concise,lsat-ar-100,Law,agi-eval/lsat-ar,127,10,"Topic: Law
Context: A corporate manager is selecting employees for a research team. The team will include at least four employees, all from among the following eight: Myers, Ortega, Paine, Schmidt, Thomson, Wong, Yoder, and Zayre. The selection is constrained by the following conditions: If Myers is on the team, neither Ortega nor Paine can be. If Schmidt is on the team, both Paine and Thomson must also be. If Wong is on the team, both Myers and Yoder must also be.
Question: Which one of the following is a pair of employees at least one of whom must be on the team?
Choices:
  A: Ortega and Schmidt
  B: Ortega and Wong
  C: Paine and Schmidt
  D: Thomson and Yoder
  E: Yoder and Zayre
",,C,D,C,A,C,C,A,A,C,C,C,D,,0,399,2756,3155,
